_id,title,pageCount,publishedYear,status,authors
136,Tuscany SCA in Action,472,2011,PUBLISH,"'Simon Laws', 'Mark Combellack', 'Raymond Feng', 'Haleh Mahbod', 'Simon Nash'"
137,Client/Server Yellow Pages,280,1995,PUBLISH,"'Compiled', 'introduced by Ted Lewis'"
138,Object Oriented Application Frameworks,352,1995,PUBLISH,"'Ted Lewis', 'friends'"
139,Tapestry in Action,580,2004,PUBLISH,'Howard M. Lewis Ship'
140,WebWork in Action,400,2005,PUBLISH,"'Patrick Lightbody', 'Jason Carreira'"
141,MacRuby in Action,287,2012,PUBLISH,"'Brendan G. Lim with Jerry Cheung', 'Jeremy McAnally'"
142,Erlang and OTP in Action,500,2010,PUBLISH,"'Martin Logan', 'Eric Merritt', '', 'Richard Carlsson'"
143,SharePoint 2007 Developer's Guide to Business Data Catalog,304,2009,PUBLISH,"'Brett Lonsdale', 'Nick Swan'"
144,Doing IT Right,350,1995,PUBLISH,'Harold Lorin'
145,Adobe AIR in Action,336,2008,PUBLISH,"'Joey Lott', 'Kathryn Rotondo', 'Sam Ahn', 'Ashley Atkins'"
146,Ant in Action,600,2007,PUBLISH,"'Steve Loughran', 'Erik Hatcher'"
147,Restlet in Action,450,2012,PUBLISH,"'Jerome Louvel', 'Thierry Boileau', '', 'Philippe Mougin'"
148,iText in Action,688,2006,PUBLISH,'Bruno Lowagie'
149,"iText in Action, Second Edition",600,2010,PUBLISH,'Bruno Lowagie'
150,Power-3D,550,1997,PUBLISH,'Kyle Lussier'
151,SNA and TCP/IP Enterprise Networking,540,1997,PUBLISH,"'Daniel C. Lynch', 'James P. Gray', 'and Edward Rabinovitch', 'editors'"
152,Subversion in Action,356,2004,PUBLISH,'Jeffrey Machols'
153,Minimal Perl,504,2006,PUBLISH,'Tim Maher'
154,Distributed Programming with Java,320,1999,PUBLISH,'Qusay H. Mahmoud'
155,Comprehensive Networking Glossary and Acronym Guide,208,1995,PUBLISH,'Gary Scott Malkin'
156,JavaServer Faces in Action,744,2004,PUBLISH,'Kito D. Mann'
